duration,waiting
3.6,79
1.8,54
3.333,74
2.283,62
,85
2.883,55
,88
,85
1.95,51
,85
1.833,54
,84
4.2,78
1.75,47
,83
2.167,52
1.75,62
,84
1.6,52
4.25,79
1.8,51
1.75,47
3.45,78
3.067,69
4.533,74
,83
1.967,55
4.083,76
3.85,78
4.433,79
4.3,73
4.467,77
3.367,66
4.033,80
3.833,74
2.017,52
1.867,48
4.833,80
1.833,59
,90
4.35,80
1.883,58
,84
1.75,58
4.533,73
,83
3.833,64
2.1,53
,82
2.0,59
4.8,75
,90
1.833,54
4.833,80
1.733,54
,83
3.717,71
1.6669999999999998,64
4.567,77
4.317,81
2.233,59
,84
1.75,48
,82
1.817,60
,92
4.167,78
4.7,78
2.067,65
4.7,73
,82
1.967,56
4.5,79
4.0,71
1.983,62
5.067,76
2.017,60
4.567,78
3.883,76
,83
4.133,75
,82
4.1,70
2.633,65
4.067,73
,88
3.95,76
4.517,80
2.167,48
,86
2.2,60
,90
1.867,50
4.817,78
1.833,63
4.3,72
,84
3.75,75
1.867,51
,82
2.483,62
,88
2.1,49
,83
4.05,81
1.867,47
,84
1.783,52
,86
3.683,81
4.7330000000000005,75
2.3,59
,89
4.417,79
1.7,59
4.633,81
2.317,50
,85
1.817,59
,87
2.617,53
4.067,69
4.25,77
1.967,56
,88
3.767,81
1.917,45
,82
2.267,55
,90
1.867,45
,83
2.8,56
,89
1.833,46
,82
1.883,51
,86
2.033,53
3.733,79
4.2330000000000005,81
2.233,60
,82
4.817,77
4.333,76
1.983,59
4.633,80
2.017,49
,96
1.8,53
5.033,77
4.0,77
2.4,65
4.6,81
3.567,71
4.0,70
4.5,81
,93
1.8,53
,89
2.2,45
,86
2.0,58
3.833,78
3.5,66
4.583,76
2.367,63
,88
1.933,52
,93
1.917,49
2.083,57
4.583,77
3.333,68
4.167,81
4.333,81
4.5,73
2.417,50
,85
4.167,74
1.883,55
4.583,77
,83
,83
2.033,51
4.433,78
,84
1.833,46
,83
2.1830000000000003,55
4.8,81
1.833,57
4.8,76
,84
3.966,77
4.2330000000000005,81
,87
4.3660000000000005,77
2.25,51
4.667,78
2.1,60
,82
,91
1.867,53
4.6,78
1.783,46
4.367,77
,84
1.933,49
,83
2.383,71
4.7,80
1.867,49
3.833,75
3.417,64
4.2330000000000005,76
2.4,53
,94
2.0,55
4.15,76
1.867,50
,82
1.75,54
4.4830000000000005,75
4.0,78
4.117,79
4.083,78
4.267,78
3.917,70
4.55,79
4.083,70
2.417,54
,86
2.217,50
,90
1.883,54
1.85,54
4.283,77
3.95,79
2.333,64
4.15,75
2.35,47
,86
2.9,63
,85
,82
2.083,57
,82
2.133,67
4.35,74
2.2,54
,83
3.567,73
4.5,73
,88
3.817,80
3.917,71
,83
2.0,56
4.283,79
4.767,78
,84
1.85,58
,83
1.983,43
2.25,60
4.75,75
4.117,81
2.15,46
,90
1.817,46
4.467,74
