Feature_0,Feature_1,Feature_2,Feature_3
,0.8996707620035773,,-2.300613698446036
,,,-3.7009429906282953
-4.283936623982064,,-1.624403604030454,-2.273889068554033
,,-0.8386308264821278,
,,-1.7198797418702982,-1.9982616065589092
,,,
-4.252187467382415,,,
-4.933785622304538,-1.5307925968866543,,-3.501084813667699
-4.663012701210851,,-2.028867700367345,
-4.3342296444655855,,,
-3.4285978950950016,2.1469718448892396,0.035935108826014694,-1.9188112445965744
,-1.5271169129240127,-2.722834758861933,-3.3421934831552114
-4.188621315917112,,,
,-2.0315429823452815,,-4.490853909642878
-4.359663355193884,-1.155901671368651,,
,0.1869406205316989,,-2.3987907304128884
-4.332065366996237,,-1.3697108031193412,-2.725078533074462
,,,-4.085650927914708
-4.494158857868744,,-2.3319786369046773,
,,,
-4.773438365098183,,-2.5311579677345164,
,,-2.559727351478157,
-4.428836907187825,-0.6825161805589186,,
-5.394854203848025,,,-4.386782114165327
,,,-4.074296160058359
-3.813331979574357,,,-2.479815735818229
,,,-2.5559580057675784
-4.853676959494313,,-2.2690764842558995,
,-3.225135879940676,-3.6567471028356557,-3.3498047837171723
-3.742014428388943,1.3138698866359646,-0.7784570514498146,-2.398469124071763
,,-2.06220432245,-3.782031172112747
,,-3.1897166749716983,-4.271535863272808
-4.703977130637465,,-2.071965075583341,-3.185231280303877
,-1.4656991150639658,-2.56103155983101,
-5.804148270370363,-4.363630587467121,,-4.9624960635490085
-4.3163637731375895,,-1.6355016798289328,
-4.759177213114301,-0.6426496380718651,-1.8656652555618605,-2.374983802802974
-4.710664204260966,,,-3.444496796145975
-4.883939788169353,-2.1341785362649093,-2.864965664062439,-3.230915299403786
,-2.075612663698235,,-3.839193990766923
-4.692204088403937,,-2.7181491294331246,-3.8392211822603612
,0.6245344000398099,-1.0319681194808323,
-5.37717763389489,-2.7752252772977006,-3.905478835190363,
,,,
-4.244322583516543,,-1.0861074720294472,-2.372686381619913
-3.831365945909473,,-0.27132991731405176,
,-0.9717242359374018,-2.4997195780135892,
,-0.7541357138088147,,-3.1241895135293536
,,-2.815184233130719,-3.3557052190848964
,,-3.33353131877032,
,-0.368886832553973,-2.073622124891256,-3.598521348468714
-4.861752812375071,-1.0424615697514596,,
-4.3167500885991075,-1.3990213411494146,,
-4.386713166443467,,-2.528309212044379,
-4.303603409684303,,-1.5683990677984234,
,,-1.493619194199438,
-4.63758088387409,,-2.3077229714172036,-3.2659443331702804
-4.434970047102708,0.16059934568393958,,-3.9897710368439445
-5.253705064005345,,,
,,-2.0625136530612913,-3.6533387692969232
-5.248280345242191,,,-4.030574014304064
,,-3.8862903366057187,
,,-1.6700804405746175,-2.94507272250116
-4.370856779123134,,-1.4204220522200792,-2.778375815433799
,,,
,,,
-4.718587504547783,,,-4.2302620459599
,0.21981866152583673,,
-3.5422138051714334,,,-1.680626836762716
-5.067991416380879,-1.9990313357199276,-2.9293992492815346,-3.6981170693742973
-4.119312528939109,,,-3.0144934560986187
-4.233063390528035,-0.025480088063953965,,-2.252436556029777
,,-1.0358024431298294,-2.1272322815937406
-4.311839299430747,,-1.4994264296186262,
-4.523651110467672,-0.24752463685043696,-1.9756802474487754,-3.3979007179082905
-4.798749867582028,-1.0590379511117396,,-4.362617629844546
,,,
,,,
-5.130618975252939,-2.9839194099478354,,
-4.102260154952416,,-1.0228176808385676,
,-0.9696154896864743,-2.0156161321291575,
-4.805879120243589,-0.5850958883126295,,
-5.192688392945136,,-2.95990088411824,-3.1558661702492063
,-1.1754844451459598,-2.7725192283188784,-3.6391815456429564
,-1.6263555743177152,,
,,,
-5.061876639675259,-0.6706026677967121,-2.0275313427679995,-3.593228319035304
,-0.8485607016046934,,
,-1.1246692708346104,-2.377034341006093,
,,-0.252136936894233,-2.2091635201728423
,1.4290559619763274,-0.5198107231775464,
,-0.3548711061153067,-1.7108407914853392,
,-0.38206403031288994,-1.7814052166762786,-2.317307348039622
,,,
,0.42106806943926345,,-3.337516889656533
,-1.3877443888877847,-2.928505440220155,-3.692118919931785
,-1.4938059806082864,,-3.262877391713762
,0.9854405801189083,,-3.5526980625609434
,-0.6905431918170146,,-2.766342270912892
,1.4574491110093306,-0.30560393604494007,-1.627733835566561
,1.0115632556684442,,
,,-4.205204693602806,-4.229452552279784
,-0.43251804772601266,,
,,,
,1.1208927890626421,-0.5173400645825854,-2.2161584754425343
-3.8300272072573347,0.6476226698645329,,
-3.834550153436471,,,
,-1.359152409812817,,
,-1.5896611710867439,-2.635076788654679,
-3.8757241631941546,1.4979991073108514,-0.7767990107066911,-2.6284162956641723
,1.0916159788233866,,
,1.0389780946056129,,-2.6586732805024993
,,0.632724186519992,
,,,-2.367916178732158
,,,
-3.5521788849612714,2.461910517658586,0.3863596288149922,
-4.6060964240160445,,,
,,-4.502128719790884,-5.339851742284635
,,-1.0413100009664,
,1.614213144257288,0.21761543443081477,
,,,
-5.092280273806996,-1.9614940975580681,-2.7265389257328225,-3.4081597987697676
-3.972671579676023,,,-1.8709064235236224
-4.3937201665025105,-0.6460140648864113,,-3.2243113685929594
-4.451786722882792,,,-3.2675786921353294
-4.473651442309806,,,-2.4557284840673557
,-1.0047156780592346,,
-4.835144181860867,-1.6878401276675188,-2.736015747635551,-3.186620195568287
,,,-4.012498947668079
-4.616252563986566,0.050520416845635296,-1.5067877309279214,-3.2010451659952235
-4.009721454780286,,-0.8219148375950409,
-3.9973794409364056,0.42211718761698735,,
-4.140036845702179,,,-2.272583651488331
-4.804629977221712,0.10320638261397919,-1.9107727513883193,
,-1.4678685484849496,,-3.95775925776985
,-0.3162658883151258,,-2.264869012453988
-4.163982506566549,0.6628973275897738,-1.3772371625642474,-2.9678930943929975
,2.91249106194276,,
,-1.884203060985663,,
-4.38163504274848,,,
,,,
-5.441921927212618,,-3.8005562140640015,
-4.571709832245959,-0.2701548379627805,,
-3.42233421533516,,,
-4.2387386334599215,0.7011204054441875,-1.0641223802878765,
,,-1.5104690664907925,
,,-2.3948272377862403,
-5.172567526298238,-3.400364408709114,,-3.204274820136467
-4.719159879043329,,,
-2.989103085188421,1.8073846312319368,,
-4.119316561195769,,,-2.7040408349358587
-4.311943634848906,,,-2.2738157993863632
-3.7412768707394397,,0.915834759979576,-2.006515739235158
-3.8443509866084495,2.013420712160876,,-2.384371871675068
,0.562181285397657,-0.9968574850964071,
,0.9347690394489379,,-2.4056061946244522
-4.3549933730739765,,-1.6191769133036806,-2.5512813548155133
,0.9383697941589972,-0.47272585235151476,
,-0.9021622441653558,,-3.4260354733056664
-3.9316526175265256,-0.24038195888187888,-1.7954329257259005,
,,-1.7946380680607235,
-3.716219574360804,1.2692781740740255,,-2.191154082019473
,-0.5325633162053398,-1.8421864388704945,-2.5102546262164958
-4.093274441995719,0.24735993552016644,,
,,-1.069803752462006,
,0.8042917030065011,,
,,,-1.86734101503325
-4.195551070028908,1.2108421938981937,-0.7864702991706964,
-4.335117362762503,,,-2.126219992726478
,-0.9758221866154999,,
-4.733599256837237,-0.5316719093664611,,-2.5780053169033676
-4.346383632823149,1.3755788922401877,-0.6853256963708327,-3.0130458610163644
,,,
-4.479088958239373,,-1.5508543017289336,-3.895952406100233
-4.154666011285521,,,
-3.768929429048587,1.3028857000721608,-0.2708805177155609,-1.4556694036321696
,1.9811464239118899,,-2.6240527308612207
,,-3.336749206236578,
,-1.6368270116363588,,
-3.989743229362853,,-1.1411430486600782,
-4.273544437767904,,-1.4465941807554779,-3.1024868292837113
,,,-3.9163452432667363
-4.817354596052695,,-2.5600697143780557,-3.0652771242134498
-4.614388346070967,-0.2626448628388658,,
,,,-3.8137786385242016
-4.771422383135557,,,-2.7970034968369775
,,-2.703938985202763,
,-0.7470113941637277,,-3.5513972921046943
-3.992672614919497,-0.3824921898115442,-1.558547030211068,-1.9097286618080005
-4.659675673622218,-0.8888241975761286,,
,,-1.9303438428065345,
-4.868616875796252,-1.7265826507892426,,-3.1141100403324944
-4.174158437732491,1.438711492776469,,
,,,
,,,
-3.4603419513775693,2.8475131186409217,0.49028850289352777,-1.5621402208720028
-4.784868166609355,-0.5803040543049873,-2.094702620278988,-3.1081524282811115
,,,-3.2047044801581177
,-0.7370481195850453,-2.0316367536667053,
,0.9939692098763828,,
-4.025103827271184,,,
-4.178577259802809,0.5014502670408876,-0.8796475427307385,
-4.095084992673971,0.008557934881515517,-1.3819883783189215,
-4.115871492499318,0.061381543134672756,-1.4215946006680027,-2.258051046886051
,1.6676873944256156,,-1.3787220161765879
-3.5291487371454044,2.8297494380805346,,-2.021533623380887
,0.24556409404577295,,
,0.9313948610583094,,
-4.056184564949334,0.5977977875802581,-1.0849917380317213,
-4.273531295026102,-0.35838253469871817,-1.5800865491487297,
,-2.2352176981268674,-3.437066451762851,
-5.256607889090747,-2.578221757050998,,
,,,
,,-1.7275506380650503,-2.264926502203436
-4.410766733463508,,-1.6782184810877943,-3.2576974396296303
-4.688540215530216,,-1.8764487149795641,-2.535141764219686
-4.372084423794855,,-1.9155481894968045,
,,,-3.567618445362484
-4.881211030139641,-1.5394805692596691,,-3.274417375128745
,-1.1443646069287663,-2.3420482657338537,
,,,-2.4364562236187717
,,-2.3910666677035843,
-5.47505035813705,-2.5305908883795727,,-5.19997071829445
-4.40275694945555,0.5002564594468865,,-2.5934417340376292
-3.197966557358772,,,
,,-2.696609581461844,
,0.3382021908462409,-1.2533264841246554,-2.2769487418772507
-4.857252152890713,-0.854765862634552,,-3.9847612149903213
,1.9682560628863066,-0.4780245284222415,-3.21344762036368
,,-3.429138980012591,-4.264683171286842
-4.215295504189277,-0.4331334903200811,,
,-1.0318540400067011,-2.2337405383986155,-2.7691236923745
,-1.6268594865145998,,
-4.2498098747076485,1.2011254950892478,-0.9622976178706416,
-6.1113240814078695,,,
-4.273570672806614,0.1526274076010976,,-2.4171831691172763
-5.558731648523367,-2.2256682276412336,,
,,-0.9303353780826563,
-4.27936284322802,0.763009229058059,,
,-0.3716423564913617,,-2.6808501437961927
,,-1.2866435831111793,
-4.441863960548437,-0.5526374251858781,-2.2301511538894254,-3.4019552480360193
,,,-1.9705551421323442
,,,
,0.7395480428260504,-1.1860943725569846,-3.377266545018619
,-0.8278771525576099,,
,-0.2444664532284575,,
,,-0.7700914102118417,
-4.220635980902806,-0.07885216841479473,-1.7549423984662056,
-3.6292262079736837,,,
,,,
-5.5567924560516175,,-4.258372853079194,
,,,-1.8820129059476371
,,-2.7821963417285693,-3.9175883916734855
-5.065910586457555,,,-3.445846291255058
-4.805734452559722,,-2.7134110320749034,
-5.003312430032766,-2.393811532017356,,-3.625225799902877
-5.043997677789639,-1.438518175868471,-2.8444276958846406,
-4.153135829235543,-0.24233031608700212,,-2.9464029952259216
,2.069138842148772,,
-3.971538101020219,,,
-4.137426348486422,,-0.7567862589483578,-2.214085247044257
-4.749798155363739,,,
-4.648432889272517,-1.2177951952934474,-2.617828632308612,-3.496466923858529
-5.027488069102562,-1.9954405755234774,-3.3843525406737,-4.381173369281219
,,-0.6690666150291777,-3.059624182780128
,-0.16168605715312714,,-3.6734148484066336
,,-3.252911743060541,-2.8429937606003146
,,,-3.0579021333939074
-4.318630849488312,0.27822236962973235,,-3.0632662291814867
-3.3497711647734043,2.460229858093559,0.3712927221828779,
,2.759956669434083,,
-4.6937584955080345,,-1.6359810638190533,-3.636857604826629
-4.408487277493104,0.7319332023291647,-1.240713368602168,
-5.310816746471672,-2.6900633382340144,,-4.015470680271879
-4.417452342261192,,-1.4305241195731915,
-4.395417968061456,,,
-3.577053480008469,1.5158112926409166,,
,0.33591685957112216,-1.1800143231906217,
,-2.014947043260298,-3.04613129299458,-3.675975673576293
,-1.2750243155215348,,-4.05272867518949
,,,
-5.864428766194105,-3.80189888249149,,
-3.733505083138855,1.627312452193811,-0.1905855492560331,-2.2678080475232445
,-1.9309257804405595,-3.1310757035525167,
-5.391743059361356,,-3.48918713539741,-4.343795664375379
,,-2.374944922396824,-3.810706128805064
,0.8246025707556539,,
,,,
,,-0.4500127777145162,
-4.114145798167958,1.3696702823323448,-0.4886942174797282,-2.8115003077340006
,0.4306735448283838,,
,,-2.0593495071851686,
-3.4289125943363103,3.0749471910318427,,
,-0.4727022266325928,,-3.4769964191294878
,-1.4216120819324947,,
,,,-2.033431781913225
,,-2.0493893123155953,
,,-1.8566771763457979,-3.0133248013790213
,,-1.5821761142058348,-2.791384722491742
,-2.4259384722937978,-3.294126816135714,
-3.933326581700327,0.2815412688101284,,-1.6011286638127231
-5.332627823765952,,,-3.645742905451824
-4.037606247615114,,,
-5.149265141468644,-1.9685284863605148,,
-4.460671894988271,-0.6775201794217329,-2.2676715393261,-3.0272378136977163
-4.109197330971066,,-0.9512829135503373,-2.408942088091252
-5.1747329285635235,-2.348835789878581,,
,-0.24990774168213492,-1.6788481018839578,-3.1930185592241704
,-1.1957375995569914,,
,1.6507193144924737,,
-4.0650578264626205,,-1.186829003153933,
-4.317128731118323,,,
,-2.3776156195314413,-3.5309298565157197,-4.053065305242233
-4.382869218842912,-1.2849751853523088,-2.507737056647952,
,,,
-4.681282598806822,-0.9721347520802658,,-3.318352572486672
,,-2.0880915212930393,-3.035693766669852
,,,-3.2193381427719108
-5.04187793569206,-1.418404299170798,,
,,,
,0.6128885747492615,-1.2134178780217473,-3.0068414520785907
,0.3517673472871069,-1.1620141369279668,-2.1903513680989484
,,-4.715437427881564,
,,-2.9869397290781814,-2.7177269815244327
-4.522068989331437,-0.2805072395485225,-1.825848581416945,-2.8688224229656623
,,-2.9384799565196653,
,-0.5158325270828771,-2.429172686183798,-3.6794646878153308
,,-4.389666606179206,
,2.520333523109484,,-2.4797768435101806
-4.267196438943791,0.8392516653893174,-0.7750633482115079,-2.371785159529735
,0.5959337752473512,,
