simulation_id,config_idx,n_components,n_samples,missingness_pct,actual_missingness_pct,mechanism,num_iterations,convergence_time,pi_error,mu_error,sigma_error,true_pi,estimated_pi,true_means,estimated_means,dataset_file
1,0,3,500,0.1,0.1,MCAR,70,6.1219072341918945,0.016850673394439797,0.09621427241147179,0.2366372127427673,"[0.3, 0.4, 0.3]","[0.39157466330278, 0.3025477594405259, 0.30587757725669384]","[[0, 0], [5, 5], [0, 5]]","[[4.885876712227131, 5.149509696752126], [0.055719904262695324, 0.004659992509788472], [0.043600772482414486, 5.009575731064854]]",missing_MCAR_config0_n500_miss10.csv
2,0,3,500,0.3,0.3,MCAR,44,3.8224658966064453,0.016851013311648178,0.09622007584345654,0.23658234275599266,"[0.3, 0.4, 0.3]","[0.30255404203097597, 0.3915744933441758, 0.305871464624848]","[[0, 0], [5, 5], [0, 5]]","[[0.05572478528178741, 0.004706033548171076], [4.885877538236644, 5.1495101210229], [0.04359732865219957, 5.0096325247999305]]",missing_MCAR_config0_n500_miss30.csv
3,0,3,500,0.5,0.5,MCAR,40,3.480933904647827,0.01685252777633489,0.09622038847509205,0.23657755804751668,"[0.3, 0.4, 0.3]","[0.3058722899250815, 0.30255397396308586, 0.3915737361118325]","[[0, 0], [5, 5], [0, 5]]","[[0.0436021874096099, 5.009632807183094], [0.05572471207244418, 0.004705520659038367], [4.885883165649824, 5.149509697216418]]",missing_MCAR_config0_n500_miss50.csv
4,0,3,500,0.1,0.1,MAR,47,4.044146776199341,0.016847124055134832,0.09621901986921481,0.23659700109834936,"[0.3, 0.4, 0.3]","[0.3025539393262025, 0.39157643797243274, 0.30586962270136503]","[[0, 0], [5, 5], [0, 5]]","[[0.055724757492583904, 0.0047053166938160786], [4.885863105663751, 5.149511186519772], [0.043585051113407006, 5.009629299974525]]",missing_MAR_config0_n500_miss10.csv
5,0,3,500,0.3,0.3,MAR,46,4.026952266693115,0.016858709961619256,0.0962218600798257,0.2365562066954566,"[0.3, 0.4, 0.3]","[0.3915706450191904, 0.30255390942273425, 0.3058754455580754]","[[0, 0], [5, 5], [0, 5]]","[[4.885906121992955, 5.149507984708866], [0.05572457912486809, 0.0047049905206103925], [0.04362186834609219, 5.009635881361854]]",missing_MAR_config0_n500_miss30.csv
6,0,3,500,0.5,0.5,MAR,72,6.228691339492798,0.01694912387019859,0.09624717799547507,0.23620989393939773,"[0.3, 0.4, 0.3]","[0.30255699387510393, 0.30591756805999526, 0.39152543806490064]","[[0, 0], [5, 5], [0, 5]]","[[0.055725769503112456, 0.004726763653530666], [0.043906921025001364, 5.009717118754859], [4.886241489252265, 5.149483263718417]]",missing_MAR_config0_n500_miss50.csv
7,0,3,500,0.1,0.1,MNAR,40,3.52510929107666,0.016956071985179955,0.09624913271087053,0.2361833085856263,"[0.3, 0.4, 0.3]","[0.30255723083330394, 0.39152196400740996, 0.30592080515928594]","[[0, 0], [5, 5], [0, 5]]","[[0.0557258610978593, 0.004728436381485674], [4.886267254703663, 5.149481363344847], [0.0439288361586125, 5.009723360472149]]",missing_MNAR_config0_n500_miss10.csv
8,0,3,500,0.3,0.3,MNAR,48,4.195388555526733,0.016856571490526162,0.0962186104174308,0.23658926794764334,"[0.3, 0.4, 0.3]","[0.3915717142547371, 0.30255092572363435, 0.30587736002162885]","[[0, 0], [5, 5], [0, 5]]","[[4.885898389814168, 5.1495083292424955], [0.05572228753762943, 0.004683142285751411], [0.04361722463117786, 5.009607741096869]]",missing_MNAR_config0_n500_miss30.csv
9,0,3,500,0.5,0.5,MNAR,52,4.536133050918579,0.016864143926629216,0.09621991113432815,0.23656784314350157,"[0.3, 0.4, 0.3]","[0.3058817781469778, 0.3915679280366854, 0.30255029381633675]","[[0, 0], [5, 5], [0, 5]]","[[0.04364173011276168, 5.009606527133], [4.885926546162621, 5.1495061857101305], [0.0557216948372574, 0.004678441294494367]]",missing_MNAR_config0_n500_miss50.csv
10,0,3,500,1.0,1.0,LATENT,48,4.238873481750488,0.01684815220277963,0.09621928977558286,0.2365932120772236,"[0.3, 0.4, 0.3]","[0.3915759238986102, 0.30587011970850064, 0.3025539563928891]","[[0, 0], [5, 5], [0, 5]]","[[4.885866921727691, 5.149510904021924], [0.043588303973035085, 5.0096300616469875], [0.05572475699639896, 0.004705432288381891]]",missing_LATENT_config0_n500.csv
11,0,3,1000,0.1,0.1,MCAR,48,8.317368745803833,0.04430665439729897,0.07136675143613337,0.10328018092115344,"[0.3, 0.4, 0.3]","[0.40075806615369924, 0.32139526104495, 0.2778466728013502]","[[0, 0], [5, 5], [0, 5]]","[[4.972737063316905, 5.0219854349803565], [-0.04418139381866558, 4.898607421573254], [0.021203708040697437, -0.0651110493075632]]",missing_MCAR_config0_n1000_miss10.csv
12,0,3,1000,0.3,0.3,MCAR,65,11.180345058441162,0.044303226137743346,0.07144270894069478,0.10312609557455993,"[0.3, 0.4, 0.3]","[0.3213652992666588, 0.40078631380221297, 0.2778483869311284]","[[0, 0], [5, 5], [0, 5]]","[[-0.04439125953619894, 4.898601033898424], [4.9725480344830295, 5.021992124114335], [0.021208658585552934, -0.06509523067131982]]",missing_MCAR_config0_n1000_miss30.csv
13,0,3,1000,0.5,0.5,MCAR,80,13.851489305496216,0.04430252489214337,0.07144775727926682,0.1031132376153203,"[0.3, 0.4, 0.3]","[0.32136268049738415, 0.27784873755392825, 0.4007885819486875]","[[0, 0], [5, 5], [0, 5]]","[[-0.04440860015254785, 4.898602282111299], [0.021209532434470893, -0.06509204044469717], [4.9725328835402625, 5.021992555729771]]",missing_MCAR_config0_n1000_miss50.csv
14,0,3,1000,0.1,0.1,MAR,85,14.77336049079895,0.044306623263968226,0.07136751013659444,0.103278652676753,"[0.3, 0.4, 0.3]","[0.3213949654917787, 0.400758346140205, 0.27784668836801546]","[[0, 0], [5, 5], [0, 5]]","[[-0.044183471362357125, 4.898607346754945], [4.972735189942784, 5.02198550177053], [0.02120375409164296, -0.06511090532933794]]",missing_MAR_config0_n1000_miss10.csv
15,0,3,1000,0.3,0.3,MAR,44,7.698606729507446,0.04430606820929789,0.07137991478343574,0.10325342608608064,"[0.3, 0.4, 0.3]","[0.40076296097580444, 0.27784696589535085, 0.3213900731288443]","[[0, 0], [5, 5], [0, 5]]","[[4.972704313893271, 5.0219865933542085], [0.02120455929783252, -0.0651083434476998], [-0.04421776037616344, 4.8986062854908345]]",missing_MAR_config0_n1000_miss30.csv
16,0,3,1000,0.5,0.5,MAR,43,7.5708327293396,0.04430592961537361,0.07138236554903364,0.10324828259506731,"[0.3, 0.4, 0.3]","[0.32138906822738517, 0.40076389658030115, 0.2778470351923127]","[[0, 0], [5, 5], [0, 5]]","[[-0.0442247418730708, 4.8986061779699535], [4.972698055716441, 5.02198680829928], [0.021204751632787573, -0.06510770659014062]]",missing_MAR_config0_n1000_miss50.csv
17,0,3,1000,0.1,0.1,MNAR,51,8.88554072380066,0.044306433748221186,0.07137172294188145,0.10327007563863878,"[0.3, 0.4, 0.3]","[0.321393302368971, 0.27784678312588934, 0.40075991450513954]","[[0, 0], [5, 5], [0, 5]]","[[-0.04419512598561245, 4.8986069898289255], [0.021204028809368527, -0.06511003069708832], [4.972724696960094, 5.021985872439557]]",missing_MNAR_config0_n1000_miss10.csv
18,0,3,1000,0.3,0.3,MNAR,73,12.638213157653809,0.04430321163364637,0.07144332876781521,0.10312491951850648,"[0.3, 0.4, 0.3]","[0.4007865327558035, 0.32136507306101963, 0.27784839418317675]","[[0, 0], [5, 5], [0, 5]]","[[4.972546568054929, 5.021992179105276], [-0.044392871724972235, 4.898600934296627], [0.021208683322747446, -0.06509516247241048]]",missing_MNAR_config0_n1000_miss30.csv
19,0,3,1000,0.5,0.5,MNAR,48,8.450969457626343,0.04430602605483497,0.0713808685486065,0.10325149091426879,"[0.3, 0.4, 0.3]","[0.2778469869725821, 0.4007633152697415, 0.32138969775767556]","[[0, 0], [5, 5], [0, 5]]","[[0.0212046205690602, -0.06510814883561662], [4.972701943318945, 5.021986677311193], [-0.044220392161813345, 4.898606202069399]]",missing_MNAR_config0_n1000_miss50.csv
20,0,3,1000,1.0,1.0,LATENT,48,8.41914701461792,0.04430605051466835,0.07138032410284002,0.10325259780298988,"[0.3, 0.4, 0.3]","[0.2778469747426657, 0.40076311269615406, 0.32138991256118]","[[0, 0], [5, 5], [0, 5]]","[[0.021204585136673816, -0.06510826171881869], [4.972703298711152, 5.02198662939542], [-0.044218886981778845, 4.898606248290318]]",missing_LATENT_config0_n1000.csv
21,1,2,500,0.1,0.1,MCAR,158,9.622742414474487,0.03409790500845583,0.07651816935878268,0.12762188095047544,"[0.5, 0.5]","[0.48295104749577206, 0.5170489525042279]","[[0, 0], [4, 4]]","[[0.04164146008073862, 0.11664840911720797], [4.025673132117187, 3.9861345038380076]]",missing_MCAR_config1_n500_miss10.csv
22,1,2,500,0.3,0.3,MCAR,192,11.609632968902588,0.034098864758756675,0.07651524352508994,0.12761581765425553,"[0.5, 0.5]","[0.48295056762062183, 0.5170494323793785]","[[0, 0], [4, 4]]","[[0.0416405713154744, 0.11664499086950768], [4.025670264677406, 3.9861341053740658]]",missing_MCAR_config1_n500_miss30.csv
23,1,2,500,0.5,0.5,MCAR,200,12.891509771347046,0.012154197686237544,2.4102850898519184,7.495607131102305,"[0.5, 0.5]","[0.49392290115688126, 0.5060770988431188]","[[0, 0], [4, 4]]","[[2.183218522735058, 2.666476794266054], [2.021903853348067, 1.5814352968360323]]",missing_MCAR_config1_n500_miss50.csv
24,1,2,500,0.1,0.1,MAR,200,13.19017505645752,0.00587165658713984,2.643242146316254,7.645830703073175,"[0.5, 0.5]","[0.49706417170643, 0.5029358282935699]","[[0, 0], [4, 4]]","[[2.0112534339236983, 2.501459830120843], [2.1908537404551085, 1.7377487016021398]]",missing_MAR_config1_n500_miss10.csv
25,1,2,500,0.3,0.3,MAR,199,13.127569913864136,0.0340965731446744,0.07652222944173052,0.12763029502272394,"[0.5, 0.5]","[0.48295171342766274, 0.5170482865723371]","[[0, 0], [4, 4]]","[[0.04164269399459461, 0.11665315253207195], [4.025677110803483, 3.986135056927274]]",missing_MAR_config1_n500_miss30.csv
26,1,2,500,0.5,0.5,MAR,161,10.862447023391724,0.03409528327872752,0.07652616135416598,0.1276384437520229,"[0.5, 0.5]","[0.48295235836063627, 0.5170476416393638]","[[0, 0], [4, 4]]","[[0.04164388958294074, 0.11665774622779287], [4.025680963490911, 3.9861355927005104]]",missing_MAR_config1_n500_miss50.csv
27,1,2,500,0.1,0.1,MNAR,200,13.522244930267334,0.0166639693974322,2.281590272536519,7.366228189988736,"[0.5, 0.5]","[0.4916680153012839, 0.5083319846987161]","[[0, 0], [4, 4]]","[[2.2817495945485136, 2.756132365683309], [1.92731836235988, 1.499531868786327]]",missing_MNAR_config1_n500_miss10.csv
28,1,2,500,0.3,0.3,MNAR,166,11.169898748397827,0.03409808617108756,0.07651761707356874,0.12762073641535265,"[0.5, 0.5]","[0.48295095691445633, 0.5170490430855439]","[[0, 0], [4, 4]]","[[0.04164129230630299, 0.11664776388400198], [4.025672590868715, 3.986134428628222]]",missing_MNAR_config1_n500_miss30.csv
29,1,2,500,0.5,0.5,MNAR,200,13.908933639526367,0.006569867739763424,2.5534363358304577,7.600504185436061,"[0.5, 0.5]","[0.5032849338698816, 0.4967150661301182]","[[0, 0], [4, 4]]","[[2.1299835116502948, 1.6707017547171776], [2.0728025426478323, 2.569930340403144]]",missing_MNAR_config1_n500_miss50.csv
30,1,2,500,1.0,1.0,LATENT,136,8.982360363006592,0.034098058583069024,0.07651770119993054,0.12762091076791054,"[0.5, 0.5]","[0.5170490292915344, 0.4829509707084654]","[[0, 0], [4, 4]]","[[4.025672673319721, 3.9861344400605625], [0.041641317825560444, 0.11664786216448658]]",missing_LATENT_config1_n500.csv
31,1,2,1000,0.1,0.1,MCAR,173,23.140143394470215,0.002341871679449936,0.05738708124099527,0.13512902355829445,"[0.5, 0.5]","[0.501170935839725, 0.4988290641602751]","[[0, 0], [4, 4]]","[[4.059656495446017, 4.010601415170174], [0.009430291159480365, -0.053356053597204876]]",missing_MCAR_config1_n1000_miss10.csv
