simulation_id,mean_idx,cov_idx,n_samples,missingness_pct,actual_missingness_pct,mechanism,num_iterations,convergence_time,mu_error,sigma_error,true_mu,estimated_mu,true_sigma,estimated_sigma,dataset_file
1,0,0,500,0.1,0.1,MCAR,9,0.24101495742797852,0.2562812352665777,0.23879336440876228,"[50, 100, 25, 75]","[49.849285631644264, 99.87594349721421, 25.166034243233124, 75.00280444494638]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.959360286282026, 4.611583549649604, 1.7815900325406941, 2.5770342507952124], [4.611583549649604, 16.92454768454123, 2.720774260086331, 5.331556600439852], [1.7815900325406941, 2.720774260086331, 15.299838448785458, 0.7621818353657671], [2.5770342507952124, 5.331556600439852, 0.7621818353657671, 11.885047567306367]]",missing_MCAR_mean0_cov0_n500_miss10.csv
2,0,0,500,0.1,0.1,MAR,21,0.4091057777404785,0.3323635859068942,0.31245699064401417,"[50, 100, 25, 75]","[49.849285631644264, 99.78483730064089, 25.07362834873348, 75.18982784694376]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.959360286282026, 4.235740473115729, 1.7838756195550614, 2.09115448436112], [4.235740473115729, 16.6295307257524, 3.760381936980916, 3.7495308204297295], [1.7838756195550614, 3.760381936980916, 14.564162904986915, 0.9970960639127623], [2.09115448436112, 3.7495308204297295, 0.9970960639127623, 11.4672977878893]]",missing_MAR_mean0_cov0_n500_miss10.csv
3,0,0,500,0.1,0.1,MNAR,10,0.2436199188232422,1.404780789162043,0.842042097992218,"[50, 100, 25, 75]","[50.9199166897851, 101.04233196014259, 25.201738864395065, 75.00280444494638]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[5.66440875912507, 1.5337746548088123, 1.1911010900458356, 1.0966150886833026], [1.5337746548088123, 10.088429598720346, 2.3482638462141368, 2.3834163143222313], [1.1911010900458356, 2.3482638462141368, 15.07147123391552, 0.6405612264019815], [1.0966150886833026, 2.3834163143222313, 0.6405612264019815, 11.885047567306367]]",missing_MNAR_mean0_cov0_n500_miss10.csv
4,0,0,500,0.2,0.2,MCAR,24,0.9161722660064697,0.367065567713538,0.2934382996075655,"[50, 100, 25, 75]","[49.82226856868164, 99.78483730064089, 25.23842360876271, 75.00280444494638]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.026066133959741, 4.006596874946878, 1.3916157065380617, 2.018081329397923], [4.006596874946878, 16.6295307257524, 2.9890209202745974, 4.7758305712604185], [1.3916157065380617, 2.9890209202745974, 15.082640427005112, 0.8757797093338456], [2.018081329397923, 4.7758305712604185, 0.8757797093338456, 11.885047567306367]]",missing_MCAR_mean0_cov0_n500_miss20.csv
5,0,0,500,0.2,0.2,MAR,48,1.4289300441741943,0.3050398954430648,0.31591404237345505,"[50, 100, 25, 75]","[49.79006255415879, 100.09093498956241, 25.201738864395065, 75.00280444494638]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.168137772486913, 4.444611581076225, 1.9066398935112105, 2.3919769853446295], [4.444611581076225, 16.393325294484463, 2.0099919078802575, 4.787121186300636], [1.9066398935112105, 2.0099919078802575, 15.07147123391552, 0.6405612264019815], [2.3919769853446295, 4.787121186300636, 0.6405612264019815, 11.885047567306367]]",missing_MAR_mean0_cov0_n500_miss20.csv
6,0,0,500,0.2,0.2,MNAR,21,0.8221743106842041,3.3936584618017536,0.8651591002210305,"[50, 100, 25, 75]","[49.849285631644264, 99.78483730064089, 27.626039290985386, 77.13350078264229]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.959360286282026, 4.235740473115729, 0.8607494712989081, 1.2536310685896535], [4.235740473115729, 16.6295307257524, 0.9147676368984793, 2.0093778250564425], [0.8607494712989081, 0.9147676368984793, 6.970388602136554, 0.08941761390136774], [1.2536310685896535, 2.0093778250564425, 0.08941761390136774, 4.6944987523609925]]",missing_MNAR_mean0_cov0_n500_miss20.csv
7,0,0,500,0.3,0.3,MCAR,37,1.7493770122528076,0.5232880988419114,0.2664047255577301,"[50, 100, 25, 75]","[49.56902709474853, 99.78483730064089, 25.201738864395065, 75.03315467879165]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.737208163670974, 5.073684373851056, 2.436635156830117, 2.9983476287427275], [5.073684373851056, 16.6295307257524, 3.1974451777677753, 5.0187924706776466], [2.436635156830117, 3.1974451777677753, 15.07147123391552, 2.1487063848132526], [2.9983476287427275, 5.0187924706776466, 2.1487063848132526, 11.877082199642606]]",missing_MCAR_mean0_cov0_n500_miss30.csv
8,0,0,500,0.3,0.3,MAR,152,5.637310743331909,0.9547955503058503,0.5378858185037338,"[50, 100, 25, 75]","[49.849285631644264, 100.57207176302092, 25.749430287016523, 75.00280444494638]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.959360286282026, 2.8345223627319784, 1.77605811564796, 2.5770342507952124], [2.8345223627319784, 14.41743786565467, 4.302116561605789, 2.44023118368253], [1.77605811564796, 4.302116561605789, 15.493150600254825, -0.9078795229095172], [2.5770342507952124, 2.44023118368253, -0.9078795229095172, 11.885047567306367]]",missing_MAR_mean0_cov0_n500_miss30.csv
9,0,0,500,0.3,0.3,MNAR,29,1.34660005569458,4.290758193600557,0.9540636490615924,"[50, 100, 25, 75]","[52.789749078682966, 99.78483730064089, 25.201738864395065, 78.246677131674]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[2.818871501153731, 1.4618223739375855, 0.9729571726370339, 0.5608003620595111], [1.4618223739375855, 16.6295307257524, 3.1974451777677753, 0.9452729150058705], [0.9729571726370339, 3.1974451777677753, 15.07147123391552, -0.3156351401408475], [0.5608003620595111, 0.9452729150058705, -0.3156351401408475, 3.328779148174262]]",missing_MNAR_mean0_cov0_n500_miss30.csv
10,0,0,1000,0.1,0.1,MCAR,9,0.4779493808746338,0.15853094348615912,0.10372549949037158,"[50, 100, 25, 75]","[50.124514621202344, 99.90658146745888, 24.97117423325845, 75.00837986271209]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.941693678931502, 4.294425959476716, 2.3778940362450456, 2.7836015288105274], [4.294425959476716, 20.380003844948575, 4.492015820945258, 5.528752021927949], [2.3778940362450456, 4.492015820945258, 15.53756241505517, 1.0697667945315301], [2.7836015288105274, 5.528752021927949, 1.0697667945315301, 11.932578408596829]]",missing_MCAR_mean0_cov0_n1000_miss10.csv
